,x,y
가락시장,37.506181,127.028254
종로3가,37.504274,127.044602
오금,37.49773,127.029146
동대문,37.483287,127.060656
동대문역사문화공원,37.51739,127.038928
충무로,37.507662,127.033347
서울,37.505872,127.0552
신도림,37.507061,127.059374
이촌,37.502898,127.059118
왕십리,37.500082,127.05965
시청,37.501386,127.050858
교대,37.49933,127.052486
신설동,37.5035,127.050312
강변,37.492201,127.042977
까치산,37.503729,127.049029
을지로3가,37.511112,127.044671
홍대입구,37.527504,127.030088
광운대,37.49625,127.04271
상봉,37.493709,127.041948
망우,37.50057,127.042336
영등포구청,37.491448,127.034946
신길,37.507241,127.040809
을지로4가,37.500131,127.030312
합정,37.496767,127.039585
공덕,37.499102,127.033588
삼각지,37.505022,127.046954
약수,37.491913,127.031564
신당,37.498957,127.043117
동묘앞,37.499363,127.034161
석계,37.497224,127.046391
도봉산,37.490618,127.032327
불광,37.504542,127.034133
연신내,37.494671,127.039624
금정,37.494942,127.03757
수원,37.502653,127.040674
원인재,37.520202,127.033325
회기,37.507093,127.054528
대곡,37.507068,127.054506
디지털미디어시티,37.50388,127.026881
회룡,37.512109,127.065545
판교,37.478161,127.047248
오이도,37.474638,127.050455
이매,37.489412,127.06793
선정릉,37.509388,127.036365
종합운동장,37.513922,127.040904
천호,37.507017,127.028738
창동,37.518513,127.029886
사당,37.509012,127.034215
노원,37.489235,127.040159
군자,37.48601,127.044693
건대입구,37.496694,127.029678
고속터미널,37.511105,127.051482
총신대입구(이수),37.506662,127.050027
대림,37.515585,127.048438
가산디지털단지,37.474117,127.09481
온수,37.520667,127.024362
부평구청,37.494306,127.035469
잠실,37.492679,127.039223
복정,37.501835,127.041317
모란,37.493527,127.038748
부평,37.505651,127.033587
당산,37.496062,127.040452
여의도,37.494458,127.031553
동작,37.508053,127.040098
김포공항,37.502722,127.037017
강남,37.502407,127.039234
양재,37.50516,127.039586
정자,37.490937,127.081516
강남구청,37.524661,127.015965
선릉,37.502121,127.035849
효창공원앞,37.520883,127.043855
태릉입구,37.52284,127.042187
검암,37.522865,127.046944
주안,37.480229,127.047914
인천,37.480297,127.047946
인천시청,37.476778,127.049283
청량리,37.500035,127.027409
중랑,37.504384,127.051945
충정로,37.515466,127.031794
청구,37.510426,127.042678
성신여대입구,37.515092,127.036386
보문,37.510829,127.032098
계양,37.494039,127.079778
기흥,37.504561,127.055888
옥수,37.504776,127.053678
도곡,37.499067,127.058316
수서,37.489844,127.033329
용산,37.491532,127.055641
종각,37.492417,127.057484
종로5가,37.507053,127.059396
제기동,37.511135,127.055755
을지로입구,37.508488,127.062254
탑석,37.511829,127.044926
한티,37.513806,127.061854
구룡,37.521135,127.028347
홍제,37.526585,127.029054
김유정,37.527858,127.033819
남춘천,37.524264,127.037269
성균관대,37.526215,127.038405
